STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 01:00,1.78, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 02:00,0.51, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 03:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 04:00,1.02, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 05:00,1.52, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 06:00,0.51, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 07:00,2.79, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 08:00,2.03, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 09:00,2.79, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 10:00,3.05, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 11:00,2.79, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 12:00,3.30, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 13:00,2.29, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 14:00,3.30, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 15:00,1.52, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 16:00,1.52, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 17:00,1.02, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 18:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 19:00,0.51, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 20:00,1.02, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 21:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 22:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 23:00,0.76, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070125 00:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070126 23:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 00:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 01:00,0.51, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 02:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 03:00,1.02, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 04:00,6.35, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 05:00,6.86, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 06:00,2.29, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 07:00,0.76, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070127 08:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 16:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 17:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 18:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 19:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 20:00,0.51, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 21:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 22:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070129 23:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 00:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 01:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 02:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 03:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 04:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 05:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 07:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 08:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 09:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 10:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 18:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 19:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070130 20:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070131 09:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070131 10:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070131 11:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070131 12:00,0.25, , 
